"item","price","link","","","","","","",""
"gps module","6.99","amazon.com/YELUFT-GY-NEO6MV2-Control-Support-Raspberry/dp/B0F2DP1189/ref=sr_1_4?crid=1YBYO105ULL27&dib=eyJ2IjoiMSJ9.WLwA2miY6OBkIBMAIRlfGE-YmOZrU0vuVcWIf-3ncCdn9FTrPXz66XKgxtfVEgMtzbLGXSVUgj1CVRWhkn8aePAkWJZ3DI8IFmHaCwFe0wRxOFRKS40HbLWiFFe7GBxT4wb47sWOyy8XrFbP9EEMtcZ0feK42Z-xRTlj6Sc_Me2M_Skm52fWrhvvpeUQI2EFV466OQWU9opBrjLzH7_kidU376wEEMKAtJT84sf8qE8.CUUxQgICnbp4WZ16cpyrQTx6spGs6hMbyMMxTtM4gGo&dib_tag=se&keywords=gps+module&qid=1764100989&sprefix=gps+modul%2Caps%2C186&sr=8-4","","","","","","",""
"pi pico 2w","12.99","https://www.amazon.com/Pico-Microcontroller-Bluetooth-MicroPython-CircuitPython/dp/B0DPF9N1MN/ref=sr_1_3?crid=31CIBCV252DWP&dib=eyJ2IjoiMSJ9.FQsXv8hwcTiwwUdWbl2IfSyqMybuELN6mVr0FjKHDSvsH07VithSa8br1Rtci0wbBtXwXhym6zH8HqHnvAk8aCgeV2FAynO6kDCON8sH-sD_6FVw5QS4AddT7vwS6IUORTECwB3fJWVckS-8gZqU8e1xtocmkEpbI_g-SWGq324Olzv1lPsAczqqJkMgAx3bVtZkYspSIYjl440j1_O5SfbmU4bsWHnJ1yKRxCInPC8.ygWKe37AHfNIdZGUN7v_4rN-8rI8Wp16xWm8GHKSD3Q&dib_tag=se&keywords=rp2350&qid=1764101074&sprefix=rp2350%2Caps%2C181&sr=8-3&th=1","","","","","","",""
"screen","4.70","https://www.aliexpress.us/item/3256802580414312.html?spm=a2g0o.detail.0.0.2315tNE2tNE2kc&mp=1&pdp_npi=5%40dis%21USD%21USD%208.70%21USD%204.70%21%21USD%204.70%21%21%21%402101eede17644916607063775e1985%2112000043383276407%21ct%21US%216400803500%21%211%210&_gl=1*gjt27z*_gcl_au*NjIxNjQ1ODUzLjE3NjAxNjI5MTk.*_ga*MzEyMjM0OTE4LjE3NjQ0OTE1NTU.*_ga_VED1YSGNC7*czE3NjQ0OTE1NTQkbzEkZzEkdDE3NjQ0OTE2NjAkajMyJGwwJGgw&gatewayAdapt=glo2usa","","","","","","",""
"capacitive touch","3.19","https://www.aliexpress.us/item/3256805422672691.html?spm=a2g0o.productlist.main.3.438e6003UIAtFy&algo_pvid=88010392-d190-4616-a768-93ae993575d7&algo_exp_id=88010392-d190-4616-a768-93ae993575d7-2&pdp_ext_f=%7B%22order%22%3A%221090%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.19%210.99%21%21%213.19%210.99%21%402101c59117644916391328169e583b%2112000044803266998%21sea%21US%216400803500%21X%211%210%21n_tag%3A-29919%3Bd%3A2e3cd00e%3Bm03_new_user%3A-29895%3BpisId%3A5000000191712753&curPageLogUid=EGsKPobUnvDv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005608987443%7C_p_origin_prod%3A","","","","","","",""
"rocker switch","4.99","amazon.com/TWTADE-Rocker-Switch-Position-KCD1-1-101/dp/B0CVTRKJTV/ref=sr_1_4?crid=15O3XWGHTZH68&dib=eyJ2IjoiMSJ9.birWwrB6HT0HSVBf5iZvi5QFafGTnQl2Tj-Iedh7_qykOmhtI6bEymKkjM30gzodBb4olB8U2J3O_qJiTN9DWVSUHZzTAE7SxCbIhUwAqWgsgSsb00zvs2UzBHWN-ezam0yjPqb4KLKtJEZRkpdfMXyqcfjRNMSvhldvP4VrwWZLIIMozgoc1pj3d6ep6qLrqbNzOqSMUf02WrSFW_t8jj9qPKEkbAxc1I3WkeHgLJY.zA2mVKf8lNGmnyRtGcX-Qml35zV4wpO8lcoOi7Sg2lw&dib_tag=se&keywords=rocker+switch&qid=1764101419&sprefix=rocker%2Caps%2C184&sr=8-4","","","","","","",""
"battery","9.99","amazon.com/Qimoo-Battery-Rechargeable-Connector-Electronic/dp/B0CNLP1J5K/ref=sr_1_3_sspa?crid=1KPR9C9F98FB6&dib=eyJ2IjoiMSJ9.Dey4oMiuGSl59APpPi2SAshuppW9PtQrTlE1tjrUyop-FIgMndUUQXlXNM0j-VNa-C1l-0LV8Y6Mu-6-J-3X9MKaXTtAt-tvR5P3XaPEYItJzGhIJaMr2lr0d8ftIecAovUtxkJE0WMFUjhhnPZcxXq31rdDoiiCr0RkQKlhwqU8Ls7RoNye13VBy4W1IDjnnApDcZI68Mc5HLDKU2I2xCESBLByr8H8_ML3UOE8jL54-cyL2AW8nvC_xugvQYFh_AV4p3bf42oKwJyIsVLefxB-9Xuk-Mc7RaVdozldM3U.YisTLQmtkFoE2PHWyiVr1o1Ij9ugHy3dZg3Oe6lM_R4&dib_tag=se&keywords=lipo+battery&qid=1764101542&sprefix=lipo+battery+%2Caps%2C185&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1","","","","","","",""
"battery charger","2.62","https://www.aliexpress.us/item/3256806718208815.html?spm=a2g0o.productlist.main.7.c99158c9SlI49R&algo_pvid=4d44283f-ca8d-4ec2-9d0b-cf9559513426&algo_exp_id=4d44283f-ca8d-4ec2-9d0b-cf9559513426-6&pdp_ext_f=%7B%22order%22%3A%2211144%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006904523567%22%2C%22orig_item_id%22%3A%221005009690462690%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.83%210.99%21%21%2141.08%217.01%21%4021030a6217644918080463200e5a3d%2112000038670951220%21sea%21US%216400803500%21X%211%210%21n_tag%3A-29919%3Bd%3A2e3cd00e%3Bm03_new_user%3A-29895%3BpisId%3A5000000191712753&curPageLogUid=C90Mvsvv0zdm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006904523567%7C_p_origin_prod%3A1005009690462690","","","","","","",""
"totals","45.47 (54.69 with tax)","","","","","","","",""
"","","","","","","","","",""
